GRASA C/P,Nuez de la india sin sal en mitades,15,mitades,12,12,72,2.1,5.9,3.4,1.1,3.4,1.1,0.0,0.0
GRASA C/P,Nuez de la india tostada sin sal ,8,pieza,13,13,73,1.9,5.9,4.2,1.2,3.5,1.0,0.0,2.3
GRASA C/P,Nuez de macadamia deshidratada,4,pieza,10,10,73,0.9,7.7,1.4,1.1,6.1,0.1,0.0,0.4
GRASA C/P,Nuez deshidratada,3,pieza,9,9,67,0.9,7.0,1.3,0.6,4.2,1.9,0.0,0.1
GRASA C/P,Nuez en mitades,7,mitades,10,10,74,1.0,7.7,1.4,0.7,4.6,2.1,0.0,0.1
GRASA C/P,Nuez entera,3,pieza,9,9,67,0.9,7.0,1.3,0.6,4.2,1.9,0.0,0.1
GRASA C/P,Nuez garapiñada, 3/4,taza,12,12,64,1.7,5.6,3.0,1.3,3.0,1.3,0.0,38.6
GRASA C/P,Nuez picada,10,g,10,10,71,1.0,7.4,1.4,0.6,4.4,2.1,0.0,0.1
GRASA C/P,Nuez tostada,3,pieza,9,9,67,0.9,7.0,1.3,0.6,4.2,1.9,0.0,0.1
GRASA C/P,Pasta de almendras,4,cucharadita,13,13,62,1.2,3.8,6.5,0.3,2.4,0.8,0.0,1.4
GRASA C/P,Pasta de cacahuate,5,cucharadita,13,13,73,3.5,6.2,2.2,1.1,3.1,1.8,0.0,59.8
GRASA C/P,Pasta de cacahucate desgrasada,7,cucharadita,18,18,76,5.3,4.4,4.9,1.6,4.4,2.5,0.0,106.2
GRASA C/P,Paté,5,cucharadita,22,22,69,3.1,6.1,0.3,0.0,0.0,0.0,0.0,150.9
GRASA C/P,Paté de cerdo,1,cucharada,13,13,61,1.5,5.8,0.6,1.9,3.4,0.1,20.0,91.9
GRASA C/P,Paté de Foie gras,1,cucharada,13,13,60,1.5,5.7,0.6,1.9,3.3,0.1,19.5,90.6
GRASA C/P,Paté de ganso,1,cucharada,13,13,61,1.5,5.8,0.6,1.9,3.4,0.1,20.0,91.9
GRASA C/P,Paté de higado  de cerdo,1,cucharada,13,13,61,1.5,5.8,0.6,1.9,3.4,0.1,20.0,91.9
GRASA C/P,Paté de hígado de ternera,1,cucharada,13,13,61,1.5,5.8,0.6,1.9,3.4,0.1,20.0,91.9
GRASA C/P,Paté de pollo,8,cucharadita,35,35,71,4.7,4.6,2.4,1.4,1.9,0.9,137.3,134.8
GRASA C/P,Paté de ternera,1,cucharada,13,13,61,1.5,5.8,0.6,1.9,3.4,0.1,20.0,91.9
GRASA C/P,Pepita limpia,1.5,cucharada,15,15,79,5,6.4,2,1.2,2,2.9,0.0,2.7
GRASA C/P,Pepitas,60,pieza,12,12,66,3,5.6,2.1,1.1,1.7,2.5,0.0,2.1
GRASA C/P,Pepitas con cáscara,2,cucharada,13,13,70,3.5,5.6,1.3,0.9,2.2,2.6,0.0,520.0
GRASA C/P,Pepitas de calabaza,1 1/2,cucharada,12,12,66,3.6,5.5,1.7,0.0,0.0,0.0,0.0,0.0
GRASA C/P,Pepitas de melón,5,cucharadita,12,12,66,3.3,5.6,1.8,1.2,0.9,3.3,0.0,11.7
GRASA C/P,Pepitas tostadas,1,cucharada,13,13,69,4.3,5.5,1.8,1.1,1.7,2.5,0.0,2.3
GRASA C/P,Pepperoni,4,rebanada,15,15,72,107,6.7,0.1,2.6,3.3,0.6,12.5,274.0
GRASA C/P,Piñón,1,cucharada,10,10,64,1.2,6.2,2,1.0,2.3,2.6,0.0,7.1
GRASA C/P,Pistache,18,pieza,13,13,73,2.6,6.3,2.5,0.8,3.1,1.9,0.0,86.4
GRASA C/P,Pistache tostado,18,pieza,13,13,74,2.6,6.2,3.2,0.8,4.2,0.9,0.0,0.9
GRASA C/P,Queso de puerco,20,g,20,20,75,2,7.4,0,4.1,4.0,1.0,20.0,0.0
GRASA C/P,Salsa bearnesa industrializada,4,cucharadita,17,17,61,2.3,1.5,9.9,0.2,0.7,0.5,0.0,564.4
GRASA C/P,Salsa bechamel,3,cucharada,45,45,66,1.7,4.8,4.1,1.3,2.0,1.3,3.2,159.5
GRASA C/P,Salsa blanca,3,cucharada,45,45,66,1.7,4.8,4.1,1.3,2.0,1.3,3.2,159.5
GRASA C/P,Salsa de ajonjolí,2,cucharadita,11,11,63,2.6,5.3,2.3,1.0,2.5,1.5,1.5,50.4
GRASA C/P,Salsa de cacahuate,2,cucharadita,11,11,63,2.6,5.3,2.3,1.0,2.5,1.5,1.5,52.0
GRASA C/P,Salsa de pimienta verde,5,cucharada,75,75,72,2.3,4.4,6.0,2.7,1.2,0.1,0.1,280.4
GRASA C/P,Salsa de queso,2,cucharada,34,34,67,3.5,5.1,1.8,2.7,1.6,0.5,0.5,167.7
GRASA C/P,Salsa pesto,4,cucharadita,24,24,66,3.1,5.5,0.9,0.0,0.0,0.0,0.0,103.2
GRASA C/P,Selección de botana mexicana,1,cucharada,10,10,62,2.3,5.0,2.0,0.7,2.3,2.0,2.0,120.0
GRASA C/P,Semilla de calabaza,1 1/2,cucharada,15,15,61,3.4,5.1,1.6,0.9,1.9,2.2,2.2,0.0
GRASA C/P,Semilla de calabaza menuda,2,cucharada,20,20,65,5.3,4.1,3.0,0.7,1.5,0.0,0.0,0.0
GRASA C/P,Semilla de chía,5,cucharadita,12,12,66,3.3,5.6,1.8,1.2,0.9,3.3,3.3,11.7
GRASA C/P,Semilla de girasol,4,cucharadita,12,12,69,2.7,6.0,2.1,0.7,1.5,3.7,3.7,0.4
GRASA C/P,Semilla de girasol tostada,4,cucharadita,12,12,71,2.4,6.0,2.9,0.6,1.2,4.0,4.0,0.4
GRASA C/P,Tocino vegetariano,2,rebanada,20,20,63,2.3,6.0,1.3,1.0,1.5,3.0,3.0,292.5
